"Dependents","MultipleLines","InternetService","Contract","tenure","MonthlyCharges","Churn","confidence(No)","confidence(Yes)","prediction(Churn)","cost"
"No","Yes","Fiber optic","Month-to-month",34.0,109.8,"Yes",0.5412733117174989,0.4587266882825012,"No",0.08254662343499775
"Yes","Yes","DSL","One year",59.0,65.5,"No",0.9553884733903072,0.04461152660969268,"No",0.9107769467806145
"Yes","Yes","Fiber optic","Month-to-month",60.0,80.95,"No",0.8991801635089741,0.10081983649102595,"No",0.7983603270179481
"No","No","DSL","Month-to-month",27.0,56.15,"No",0.882052459179036,0.11794754082096413,"No",0.7641049183580718
"No","No","Fiber optic","Month-to-month",1.0,79.1,"Yes",0.38969650162041575,0.6103034983795842,"Yes",0.22060699675916845
"Yes","No","DSL","Month-to-month",3.0,44.3,"Yes",0.8848000110155297,0.1151999889844701,"No",0.7696000220310596
"No","Yes","DSL","Month-to-month",35.0,25.6,"No",0.948140053035376,0.05185994696462413,"No",0.8962801060707518
"Yes","Yes","Fiber optic","Month-to-month",50.0,105.95,"Yes",0.7543826115540688,0.24561738844593126,"No",0.5087652231081375
"No","Yes","DSL","Month-to-month",47.0,25.4,"No",0.9496478802847421,0.05035211971525788,"No",0.8992957605694842
"No","No","Fiber optic","Month-to-month",5.0,69.75,"Yes",0.469822135244363,0.5301778647556369,"Yes",0.06035572951127388
"No","Yes","Fiber optic","Month-to-month",46.0,96.05,"Yes",0.692386280955541,0.30761371904445906,"No",0.38477256191108195
"No","Yes","DSL","One year",14.0,24.8,"No",0.955426509238606,0.04457349076139411,"No",0.9108530184772119
"Yes","No","Fiber optic","One year",66.0,103.15,"No",0.9271424924553647,0.07285750754463537,"No",0.8542849849107294
"Yes","Yes","DSL","Two year",72.0,72.1,"No",0.9577898010421667,0.042210198957833324,"No",0.9155796020843334
"No","No","Fiber optic","Month-to-month",29.0,78.9,"Yes",0.7576135274759611,0.24238647252403892,"No",0.5152270549519222
"Yes","Yes","DSL","Two year",6.0,25.4,"No",0.9578053940499776,0.042194605950022536,"No",0.915610788099955
"Yes","Yes","DSL","One year",56.0,24.45,"No",0.9588444922918793,0.0411555077081206,"No",0.9176889845837587
"Yes","Yes","DSL","Month-to-month",26.0,60.05,"Yes",0.9426023378793821,0.05739766212061794,"No",0.8852046757587642
"Yes","No","DSL","Two year",60.0,19.65,"No",0.9593328273717779,0.040667172628222115,"No",0.9186656547435559
"Yes","No","DSL","One year",39.0,25.25,"No",0.9577167423428462,0.04228325765715383,"No",0.9154334846856924
"No","Yes","Fiber optic","Two year",72.0,114.45,"No",0.9339077742661456,0.06609222573385454,"No",0.867815548532291
"Yes","Yes","DSL","One year",54.0,70.7,"No",0.9545557939016317,0.045444206098368224,"No",0.9091115878032635
"Yes","No","DSL","Two year",63.0,75.55,"No",0.9572942700158058,0.042705729984194085,"No",0.9145885400316117
"Yes","Yes","Fiber optic","Two year",71.0,84.8,"No",0.9525205355945113,0.04747946440548859,"No",0.9050410711890228
"No","Yes","Fiber optic","Month-to-month",21.0,104.4,"Yes",0.4329815531386192,0.5670184468613808,"Yes",0.13403689372276162
"No","No","DSL","Month-to-month",11.0,35.65,"No",0.8120346136357849,0.1879653863642151,"No",0.6240692272715698
"Yes","Yes","Fiber optic","Month-to-month",1.0,99.75,"Yes",0.3063444700461748,0.6936555299538251,"Yes",0.38731105990765025
"No","Yes","Fiber optic","Two year",69.0,97.65,"No",0.9424866622301392,0.05751333776986082,"No",0.8849733244602784
"No","No","DSL","Month-to-month",4.0,74.4,"Yes",0.7982824437198626,0.20171755628013752,"No",0.596564887439725
"No","Yes","DSL","One year",29.0,55.25,"No",0.9494472556428545,0.0505527443571455,"No",0.898894511285709
"No","No","DSL","Month-to-month",8.0,54.75,"No",0.7819096946174146,0.21809030538258548,"No",0.5638193892348291
"No","No","DSL","One year",17.0,19.9,"No",0.9540456716980881,0.04595432830191195,"No",0.9080913433961761
"No","Yes","Fiber optic","Month-to-month",17.0,94.2,"No",0.4179645920176911,0.5820354079823089,"Yes",0.1640708159646178
"No","No","DSL","Two year",45.0,81.65,"No",0.952991937947537,0.04700806205246307,"No",0.9059838758950739
"No","Yes","Fiber optic","One year",64.0,89.45,"No",0.8943611614630216,0.10563883853697835,"No",0.7887223229260433
"No","No","DSL","Month-to-month",1.0,19.05,"No",0.8412401322487687,0.1587598677512313,"No",0.6824802644975374
"No","No","DSL","Month-to-month",7.0,44.25,"No",0.7564188755936976,0.24358112440630245,"No",0.5128377511873952
"No","Yes","Fiber optic","One year",66.0,90.55,"No",0.8944453875402677,0.1055546124597323,"No",0.7888907750805354
"Yes","No","DSL","Two year",56.0,19.8,"No",0.9592932806875435,0.04070671931245645,"No",0.918586561375087
"No","No","DSL","Two year",54.0,20.05,"No",0.958437904703474,0.04156209529652599,"No",0.916875809406948
"No","No","Fiber optic","Two year",50.0,89.7,"No",0.943378535580132,0.05662146441986795,"No",0.886757071160264
"No","Yes","Fiber optic","Month-to-month",14.0,89.95,"Yes",0.3984210499456957,0.6015789500543043,"Yes",0.20315790010860857
"No","No","DSL","One year",27.0,48.7,"No",0.948162296101947,0.051837703898053,"No",0.896324592203894
"No","Yes","DSL","Two year",58.0,24.45,"No",0.9586888197197759,0.04131118028022407,"No",0.9173776394395519
"Yes","Yes","Fiber optic","Month-to-month",35.0,89.65,"No",0.7534133573808534,0.24658664261914676,"No",0.5068267147617066
"No","No","DSL","Month-to-month",2.0,45.4,"No",0.7110459576591222,0.2889540423408779,"No",0.42209191531824425
"No","No","Fiber optic","Month-to-month",2.0,79.0,"Yes",0.39833016411369754,0.6016698358863025,"Yes",0.20333967177260498
"Yes","No","DSL","Month-to-month",1.0,48.75,"No",0.8746202804762584,0.12537971952374163,"No",0.7492405609525168
"Yes","No","DSL","One year",18.0,20.15,"Yes",0.9571949815708513,0.042805018429148765,"No",0.9143899631417025
"No","No","DSL","Month-to-month",4.0,20.35,"Yes",0.8555561391583223,0.1444438608416778,"No",0.7111122783166445
"No","No","DSL","Two year",57.0,19.6,"No",0.9585444553977798,0.04145554460222034,"No",0.9170889107955594
"Yes","Yes","DSL","Month-to-month",42.0,69.4,"No",0.944347536317129,0.055652463682871134,"No",0.8886950726342578
"No","Yes","DSL","Month-to-month",23.0,73.65,"No",0.8837556990334147,0.11624430096658524,"No",0.7675113980668294
"No","Yes","Fiber optic","Month-to-month",10.0,98.7,"Yes",0.33108094858418907,0.6689190514158109,"Yes",0.3378381028316218
"No","No","Fiber optic","Month-to-month",22.0,69.7,"No",0.7424316887583665,0.25756831124163354,"No",0.484863377516733
"No","No","DSL","Two year",36.0,53.1,"No",0.9541168172204028,0.04588318277959728,"No",0.9082336344408055
"Yes","No","DSL","Month-to-month",34.0,20.65,"No",0.951394535837122,0.048605464162877955,"No",0.902789071674244
"Yes","Yes","DSL","Two year",72.0,64.45,"No",0.9582711108740988,0.041728889125901204,"No",0.9165422217481975
"No","Yes","Fiber optic","Month-to-month",23.0,79.15,"Yes",0.5895145945587538,0.41048540544124634,"No",0.17902918911750743
"No","Yes","Fiber optic","Month-to-month",32.0,85.0,"Yes",0.6363750770990828,0.36362492290091725,"No",0.27275015419816556
"No","No","Fiber optic","One year",17.0,96.65,"No",0.816745946616113,0.18325405338388698,"No",0.633491893232226
"Yes","Yes","Fiber optic","Month-to-month",60.0,74.35,"No",0.9174480935732995,0.08255190642670057,"No",0.834896187146599
"No","Yes","Fiber optic","Month-to-month",65.0,90.65,"No",0.8407088790778557,0.15929112092214412,"No",0.6814177581557116
"No","Yes","DSL","One year",42.0,25.05,"No",0.9569817959990154,0.04301820400098457,"No",0.9139635919980309
"No","Yes","Fiber optic","Month-to-month",8.0,74.85,"No",0.40187225399513665,0.5981277460048634,"Yes",0.19625549200972675
"Yes","No","DSL","Two year",32.0,20.5,"No",0.9588730146871711,0.041126985312828955,"No",0.9177460293743421
"No","No","DSL","Month-to-month",1.0,47.95,"No",0.7054767378708796,0.2945232621291204,"No",0.4109534757417592
"No","Yes","Fiber optic","Month-to-month",54.0,90.05,"No",0.7815080289847334,0.2184919710152667,"No",0.5630160579694666
"No","Yes","DSL","One year",56.0,24.3,"No",0.9575297652037634,0.04247023479623661,"No",0.9150595304075269
"No","No","DSL","Month-to-month",45.0,75.95,"No",0.9032376956884406,0.09676230431155941,"No",0.8064753913768812
"Yes","No","DSL","Two year",71.0,19.7,"No",0.9594116817553767,0.0405883182446232,"No",0.9188233635107536
"No","No","DSL","One year",59.0,66.4,"No",0.9463525228262052,0.053647477173794735,"No",0.8927050456524105
"No","No","DSL","One year",19.0,18.8,"No",0.9546600322594515,0.04533996774054847,"No",0.909320064518903
"No","No","DSL","One year",38.0,19.3,"No",0.9559487677383963,0.044051232261603644,"No",0.9118975354767926
"No","No","DSL","Month-to-month",1.0,46.2,"Yes",0.7029391097604857,0.2970608902395145,"No",0.4058782195209712
"No","No","DSL","Month-to-month",1.0,45.15,"Yes",0.7014348037381399,0.2985651962618601,"No",0.4028696074762798
"Yes","No","DSL","Two year",46.0,20.1,"No",0.959161606316954,0.04083839368304589,"No",0.9183232126339081
"No","No","Fiber optic","Month-to-month",19.0,73.2,"Yes",0.6787111117266603,0.32128888827333973,"No",0.3574222234533206
"Yes","No","DSL","Two year",71.0,19.45,"No",0.9594159517099369,0.04058404829006331,"No",0.9188319034198735
"No","No","DSL","Month-to-month",52.0,50.5,"No",0.909653084287061,0.09034691571293894,"No",0.8193061685741221
"No","Yes","Fiber optic","One year",48.0,99.0,"No",0.8269402160040586,0.17305978399594135,"No",0.6538804320081173
"No","No","DSL","Month-to-month",1.0,44.05,"No",0.7002707276181234,0.2997292723818766,"No",0.4005414552362468
"Yes","Yes","DSL","Two year",72.0,24.1,"No",0.9595180008594348,0.04048199914056507,"No",0.9190360017188698
"Yes","Yes","Fiber optic","Month-to-month",51.0,93.8,"No",0.8218921963118921,0.17810780368810783,"No",0.6437843926237843
"Yes","No","DSL","Two year",72.0,70.65,"No",0.9579116561961946,0.04208834380380527,"No",0.9158233123923893
"No","Yes","Fiber optic","Month-to-month",2.0,86.0,"Yes",0.29123020328462296,0.7087697967153771,"Yes",0.41753959343075414
"No","No","DSL","One year",27.0,55.45,"No",0.9463642361450616,0.0536357638549384,"No",0.8927284722901232
"Yes","No","DSL","Month-to-month",24.0,70.3,"No",0.92754935694986,0.07245064305013994,"No",0.85509871389972
"No","No","DSL","Month-to-month",4.0,50.95,"No",0.7383756271734067,0.26162437282659334,"No",0.4767512543468133
"Yes","Yes","DSL","Month-to-month",16.0,69.1,"No",0.9277533104017724,0.07224668959822735,"No",0.8555066208035451
"No","Yes","DSL","Month-to-month",38.0,69.95,"No",0.9051229323867548,0.09487706761324514,"No",0.8102458647735097
"Yes","Yes","DSL","Two year",72.0,90.6,"No",0.956344209535351,0.04365579046464892,"No",0.9126884190707021
"No","Yes","Fiber optic","Month-to-month",56.0,94.45,"Yes",0.7681693896578512,0.2318306103421488,"No",0.5363387793157024
"No","No","DSL","Two year",69.0,19.95,"No",0.9587789519449754,0.04122104805502452,"No",0.9175579038899508
"Yes","No","DSL","Month-to-month",5.0,30.5,"No",0.9107189536847567,0.08928104631524325,"No",0.8214379073695135
"Yes","Yes","Fiber optic","Two year",72.0,106.1,"No",0.9453202991093743,0.05467970089062565,"No",0.8906405982187486
"Yes","No","DSL","One year",44.0,20.5,"No",0.9581716734434921,0.04182832655650809,"No",0.9163433468869839
"No","Yes","Fiber optic","Month-to-month",44.0,84.8,"Yes",0.7468873847642215,0.2531126152357787,"No",0.49377476952844274
"No","No","DSL","Month-to-month",1.0,50.9,"Yes",0.7105985470116055,0.28940145298839454,"No",0.421197094023211
"Yes","Yes","DSL","Two year",70.0,85.95,"No",0.9565600179189625,0.04343998208103746,"No",0.913120035837925
"Yes","No","Fiber optic","Month-to-month",1.0,81.05,"No",0.43991660656862813,0.5600833934313719,"Yes",0.12016678686274379
"No","No","DSL","Month-to-month",3.0,20.5,"No",0.8469851312310719,0.15301486876892811,"No",0.6939702624621438
"No","Yes","Fiber optic","One year",53.0,111.8,"No",0.8013750964220737,0.19862490357792625,"No",0.6027501928441474
"No","No","DSL","One year",51.0,60.5,"No",0.9469221927897586,0.05307780721024139,"No",0.8938443855795173
"No","No","DSL","Month-to-month",1.0,20.9,"No",0.8274744419564769,0.17252555804352307,"No",0.6549488839129538
"Yes","No","DSL","Month-to-month",1.0,21.05,"No",0.9153878553170998,0.08461214468290029,"No",0.8307757106341995
"No","No","DSL","Month-to-month",3.0,54.65,"No",0.7374570005616502,0.26254299943834974,"No",0.47491400112330046
"Yes","No","DSL","Month-to-month",8.0,25.5,"Yes",0.9257028101708324,0.0742971898291676,"No",0.8514056203416649
"No","Yes","Fiber optic","Month-to-month",65.0,91.85,"Yes",0.8348051618288431,0.16519483817115685,"No",0.6696103236576862
"Yes","Yes","Fiber optic","Month-to-month",49.0,95.4,"No",0.8050431049414687,0.19495689505853128,"No",0.6100862098829374
"No","Yes","Fiber optic","Two year",72.0,101.3,"No",0.9422753102754263,0.05772468972457362,"No",0.8845506205508527
"No","Yes","Fiber optic","Month-to-month",24.0,84.85,"No",0.5568756196545125,0.44312438034548746,"No",0.11375123930902503
"No","No","DSL","Month-to-month",24.0,49.55,"Yes",0.8703817455821644,0.12961825441783553,"No",0.7407634911643288
"No","No","Fiber optic","One year",53.0,100.3,"No",0.8844369869100945,0.11556301308990553,"No",0.768873973820189
"Yes","Yes","Fiber optic","Month-to-month",23.0,85.6,"No",0.6542282380014411,0.3457717619985588,"No",0.30845647600288234
"No","Yes","Fiber optic","Month-to-month",31.0,90.7,"No",0.5901366902923688,0.40986330970763113,"No",0.18027338058473769
"Yes","No","DSL","Month-to-month",14.0,19.95,"No",0.9401705424013694,0.059829457598630564,"No",0.8803410848027389
"Yes","No","DSL","Month-to-month",12.0,29.2,"Yes",0.9287040184497147,0.07129598155028531,"No",0.8574080368994295
"Yes","No","DSL","Month-to-month",1.0,45.7,"Yes",0.8763781914675572,0.1236218085324428,"No",0.7527563829351145
"No","No","Fiber optic","Month-to-month",1.0,69.95,"Yes",0.41811549547055543,0.5818845045294446,"Yes",0.1637690090588892
"Yes","No","DSL","Two year",67.0,67.85,"No",0.957900466337002,0.0420995336629979,"No",0.9158009326740041
"No","No","Fiber optic","Month-to-month",9.0,75.5,"No",0.5009976681339011,0.49900233186609894,"No",0.0019953362678021835
"No","No","DSL","Two year",54.0,45.2,"No",0.9563162266958037,0.04368377330419615,"No",0.9126324533916076
"No","Yes","Fiber optic","Month-to-month",24.0,89.85,"Yes",0.5250687321663521,0.474931267833648,"No",0.05013746433270411
"Yes","Yes","Fiber optic","One year",49.0,100.45,"Yes",0.901229337780717,0.09877066221928286,"No",0.8024586755614341
"No","Yes","DSL","Month-to-month",5.0,47.15,"Yes",0.8197837932767492,0.18021620672325098,"No",0.6395675865534982
"No","Yes","Fiber optic","Month-to-month",5.0,75.9,"Yes",0.3586648828986321,0.6413351171013679,"Yes",0.28267023420273585
"Yes","Yes","DSL","Month-to-month",53.0,85.7,"No",0.9420457088604595,0.05795429113954056,"No",0.8840914177209189
"Yes","No","DSL","One year",31.0,20.1,"No",0.9578936809830824,0.042106319016917616,"No",0.9157873619661647
"Yes","No","DSL","Month-to-month",13.0,61.8,"No",0.909227108171554,0.090772891828446,"No",0.8184542163431081
"No","Yes","Fiber optic","Month-to-month",10.0,86.45,"Yes",0.36510923755399,0.63489076244601,"Yes",0.26978152489201995
"No","No","DSL","Two year",38.0,20.4,"No",0.9578178036978778,0.04218219630212222,"No",0.9156356073957557
"No","No","DSL","Month-to-month",1.0,45.3,"Yes",0.7016438666431132,0.29835613335688677,"No",0.4032877332862264
"No","Yes","Fiber optic","One year",67.0,104.1,"Yes",0.8489039706280882,0.15109602937191183,"No",0.6978079412561764
"No","No","DSL","One year",52.0,75.4,"No",0.9442968963795902,0.05570310362040983,"No",0.8885937927591804
"No","No","Fiber optic","One year",12.0,95.7,"No",0.7725248215811656,0.22747517841883416,"No",0.5450496431623315
"Yes","No","DSL","Month-to-month",5.0,25.05,"No",0.9196189671475352,0.08038103285246483,"No",0.8392379342950704
"No","No","Fiber optic","Month-to-month",15.0,88.15,"Yes",0.5420732444852305,0.45792675551476947,"No",0.08414648897046106
"Yes","No","DSL","Month-to-month",43.0,63.95,"No",0.9372288507302565,0.06277114926974359,"No",0.8744577014605129
"No","Yes","DSL","Two year",71.0,90.55,"No",0.9523545668459695,0.047645433154030546,"No",0.904709133691939
"No","Yes","Fiber optic","Two year",69.0,110.5,"No",0.9340646780609217,0.06593532193907835,"No",0.8681293561218434
"Yes","No","DSL","Month-to-month",1.0,24.7,"No",0.9087503191466698,0.09124968085333006,"No",0.8175006382933397
"No","No","DSL","Month-to-month",3.0,77.4,"No",0.7981539001838597,0.20184609981614035,"No",0.5963078003677194
"No","No","Fiber optic","Month-to-month",21.0,96.8,"Yes",0.6200117409139688,0.3799882590860311,"No",0.2400234818279377
"No","Yes","DSL","Month-to-month",2.0,49.4,"Yes",0.7874618824749312,0.21253811752506888,"No",0.5749237649498623
"No","Yes","Fiber optic","Month-to-month",51.0,81.0,"No",0.819376147995743,0.18062385200425699,"No",0.638752295991486
"No","Yes","DSL","Month-to-month",22.0,79.2,"Yes",0.8767601934154166,0.12323980658458338,"No",0.7535203868308332
"Yes","Yes","Fiber optic","Month-to-month",37.0,92.95,"No",0.7486526675122996,0.2513473324877004,"No",0.4973053350245992
"Yes","No","DSL","Month-to-month",7.0,48.7,"Yes",0.896189545294089,0.10381045470591092,"No",0.7923790905881781
"Yes","No","DSL","One year",51.0,76.4,"No",0.9534702363131057,0.0465297636868944,"No",0.9069404726262112
"Yes","No","DSL","One year",30.0,19.55,"No",0.9579029021324111,0.04209709786758892,"No",0.9158058042648223
"No","Yes","Fiber optic","Month-to-month",34.0,85.35,"No",0.6532756435609602,0.34672435643903965,"No",0.3065512871219206
"No","Yes","Fiber optic","One year",65.0,103.15,"No",0.8455047748656788,0.15449522513432123,"No",0.6910095497313575
"No","Yes","Fiber optic","Month-to-month",47.0,100.75,"No",0.6778447857251351,0.3221552142748649,"No",0.3556895714502702
"No","No","Fiber optic","Month-to-month",1.0,95.6,"Yes",0.37922073479224155,0.6207792652077585,"Yes",0.24155853041551695
"Yes","Yes","Fiber optic","Two year",67.0,94.1,"No",0.9482865792775774,0.051713420722422666,"No",0.8965731585551547
"Yes","No","DSL","One year",39.0,19.35,"No",0.9581585993606397,0.04184140063936028,"No",0.9163171987212795
"No","No","Fiber optic","Month-to-month",43.0,108.15,"Yes",0.7780318697685026,0.2219681302314974,"No",0.5560637395370052
"No","No","DSL","One year",14.0,59.1,"No",0.9420621190299383,0.05793788097006177,"No",0.8841242380598765
"No","No","Fiber optic","Month-to-month",1.0,71.35,"Yes",0.412447762883935,0.587552237116065,"Yes",0.17510447423213
"No","No","DSL","Month-to-month",1.0,20.15,"Yes",0.8331034359193508,0.16689656408064923,"No",0.6662068718387015
"Yes","No","Fiber optic","Month-to-month",1.0,69.75,"Yes",0.4758813467206504,0.5241186532793496,"Yes",0.04823730655869918
"No","Yes","Fiber optic","Month-to-month",32.0,93.2,"Yes",0.5844228066082363,0.41557719339176363,"No",0.16884561321647268
"No","Yes","DSL","One year",36.0,55.8,"No",0.9495718542640308,0.05042814573596921,"No",0.8991437085280616
"Yes","No","DSL","Month-to-month",48.0,29.5,"No",0.9513696086073691,0.04863039139263101,"No",0.902739217214738
"Yes","No","DSL","Two year",50.0,20.15,"No",0.9592184128257166,0.0407815871742833,"No",0.9184368256514334
"No","No","DSL","Month-to-month",18.0,19.65,"No",0.9201699577913383,0.07983004220866184,"No",0.8403399155826764
"No","No","Fiber optic","Month-to-month",9.0,94.05,"No",0.4474195540522666,0.5525804459477335,"Yes",0.1051608918954669
"No","Yes","Fiber optic","Month-to-month",2.0,90.75,"No",0.2818207992935697,0.7181792007064304,"Yes",0.4363584014128607
"No","Yes","Fiber optic","One year",69.0,99.5,"No",0.8707070162318274,0.12929298376817258,"No",0.7414140324636549
"No","Yes","Fiber optic","One year",37.0,99.2,"Yes",0.8118487476969065,0.18815125230309335,"No",0.6236974953938131
"No","No","Fiber optic","Month-to-month",11.0,70.2,"No",0.5700788728457753,0.42992112715422476,"No",0.14015774569155054
"No","Yes","Fiber optic","Month-to-month",3.0,75.25,"Yes",0.340269788145715,0.659730211854285,"Yes",0.31946042370857003
"Yes","No","DSL","One year",55.0,59.45,"No",0.9552446757805443,0.04475532421945574,"No",0.9104893515610886
"No","No","DSL","Month-to-month",46.0,44.95,"No",0.9140961807728014,0.08590381922719852,"No",0.8281923615456029
"Yes","No","DSL","Two year",30.0,21.25,"No",0.9587969589221129,0.04120304107788705,"No",0.9175939178442258
"No","No","DSL","Month-to-month",40.0,61.9,"No",0.8985637568303891,0.10143624316961085,"No",0.7971275136607783
"No","Yes","Fiber optic","Two year",71.0,118.65,"No",0.9307821735420587,0.06921782645794133,"No",0.8615643470841174
"No","Yes","DSL","Month-to-month",1.0,54.35,"Yes",0.7623342914256562,0.2376657085743437,"No",0.5246685828513126
"Yes","No","DSL","Two year",55.0,21.0,"No",0.9592557016432434,0.04074429835675671,"No",0.9185114032864866
"No","Yes","Fiber optic","Month-to-month",31.0,80.45,"No",0.6633628171400666,0.3366371828599333,"No",0.3267256342801333
"No","No","DSL","Month-to-month",5.0,24.95,"Yes",0.8314756885879557,0.1685243114120444,"No",0.6629513771759113
"No","No","DSL","One year",40.0,42.35,"Yes",0.9511704624368281,0.048829537563171876,"No",0.9023409248736562
"No","Yes","Fiber optic","One year",51.0,94.8,"Yes",0.8489246272787835,0.15107537272121635,"No",0.6978492545575672
"Yes","No","DSL","Two year",42.0,48.15,"No",0.9580646914225307,0.04193530857746922,"No",0.9161293828450615
"No","No","Fiber optic","Month-to-month",1.0,70.55,"Yes",0.4156690196627279,0.5843309803372722,"Yes",0.16866196067454425
"No","No","DSL","Month-to-month",1.0,20.15,"No",0.8331034359193508,0.16689656408064923,"No",0.6662068718387015
"No","Yes","Fiber optic","Month-to-month",56.0,106.6,"No",0.7043130919042934,0.2956869080957066,"No",0.4086261838085868
"Yes","Yes","Fiber optic","Month-to-month",15.0,91.0,"No",0.4849794952700976,0.5150205047299025,"Yes",0.030041009459804868
"Yes","Yes","DSL","Two year",12.0,25.4,"No",0.9583811957784327,0.04161880422156724,"No",0.9167623915568655
"No","No","DSL","Month-to-month",7.0,66.85,"No",0.8027002380139768,0.1972997619860232,"No",0.6054004760279537
"Yes","No","DSL","One year",21.0,64.85,"No",0.9530823492899794,0.046917650710020575,"No",0.9061646985799587
"No","No","DSL","Month-to-month",3.0,50.5,"No",0.7284291765819707,0.27157082341802935,"No",0.45685835316394136
"No","Yes","Fiber optic","One year",62.0,115.05,"No",0.8154482453211829,0.18455175467881701,"No",0.6308964906423659
"No","Yes","Fiber optic","One year",46.0,101.1,"No",0.816712207089166,0.1832877929108341,"No",0.633424414178332
"No","Yes","DSL","Two year",68.0,24.15,"No",0.9589266035229139,0.04107339647708615,"No",0.9178532070458277
"No","Yes","DSL","Month-to-month",1.0,50.1,"No",0.7759728447486989,0.2240271552513012,"No",0.5519456894973976
"No","No","Fiber optic","Month-to-month",25.0,74.6,"No",0.7446286866488032,0.2553713133511967,"No",0.4892573732976065
"Yes","No","DSL","Two year",24.0,19.75,"No",0.9586622496193882,0.04133775038061168,"No",0.9173244992387765
"No","Yes","Fiber optic","One year",51.0,106.8,"No",0.8058635862133504,0.19413641378664948,"No",0.6117271724267009
"No","Yes","Fiber optic","Month-to-month",29.0,98.5,"Yes",0.527750702006074,0.47224929799392595,"No",0.05550140401214804
"Yes","No","Fiber optic","Two year",70.0,101.1,"No",0.9511286216088005,0.0488713783911995,"No",0.902257243217601
"No","No","DSL","One year",13.0,20.2,"No",0.9530528141302422,0.04694718586975788,"No",0.9061056282604844
"No","Yes","Fiber optic","Month-to-month",13.0,95.25,"Yes",0.36707546724466494,0.6329245327553351,"Yes",0.26584906551067017
"No","No","DSL","One year",21.0,60.25,"No",0.944325378443294,0.055674621556706105,"No",0.8886507568865879
"No","No","DSL","Month-to-month",1.0,43.95,"No",0.7002304325129186,0.2997695674870815,"No",0.4004608650258371
"No","No","Fiber optic","Month-to-month",4.0,86.05,"No",0.4032257265793963,0.5967742734206039,"Yes",0.19354854684120754
"No","No","Fiber optic","Month-to-month",30.0,85.15,"Yes",0.742812390179156,0.25718760982084393,"No",0.4856247803583121
"Yes","No","DSL","Two year",67.0,19.4,"No",0.9593899935488758,0.040610006451124205,"No",0.9187799870977515
"No","Yes","Fiber optic","Two year",72.0,102.65,"No",0.9415254594091023,0.058474540590897774,"No",0.8830509188182045
"No","No","DSL","One year",5.0,19.55,"No",0.9506280594627666,0.04937194053723345,"No",0.9012561189255331
"Yes","Yes","Fiber optic","Two year",56.0,103.2,"No",0.9379839273687341,0.06201607263126596,"No",0.8759678547374682
"No","No","DSL","Month-to-month",2.0,50.2,"No",0.7185981300116152,0.28140186998838485,"No",0.43719626002323037
"Yes","Yes","DSL","Month-to-month",24.0,54.75,"Yes",0.9425653455283785,0.05743465447162168,"No",0.8851306910567568
"Yes","No","DSL","Two year",46.0,19.95,"No",0.9591654728749539,0.04083452712504606,"No",0.9183309457499078
"No","No","DSL","Month-to-month",29.0,31.2,"No",0.9155015083175687,0.0844984916824313,"No",0.8310030166351374
"No","Yes","DSL","Two year",71.0,84.2,"No",0.9529376829613349,0.04706231703866517,"No",0.9058753659226697
"No","No","Fiber optic","Month-to-month",1.0,91.3,"Yes",0.37918343411183447,0.6208165658881656,"Yes",0.2416331317763311
"No","No","DSL","Two year",56.0,85.65,"No",0.9535232633908836,0.046476736609116574,"No",0.907046526781767
"Yes","No","DSL","Month-to-month",19.0,20.2,"No",0.9442339486286083,0.055766051371391644,"No",0.8884678972572166
"Yes","Yes","DSL","One year",17.0,61.95,"No",0.9543649809233082,0.045635019076691964,"No",0.9087299618466163
"Yes","Yes","DSL","Two year",52.0,25.75,"No",0.9593174837578436,0.04068251624215632,"No",0.9186349675156873
"No","No","DSL","One year",19.0,58.2,"No",0.9442421752115693,0.055757824788430686,"No",0.8884843504231386
"No","No","DSL","One year",36.0,85.85,"No",0.9425084844663391,0.057491515533660977,"No",0.8850169689326781
"Yes","Yes","Fiber optic","One year",67.0,111.3,"Yes",0.9073093537935302,0.0926906462064699,"No",0.8146187075870602
"No","Yes","Fiber optic","Month-to-month",1.0,100.8,"Yes",0.26193223929030723,0.7380677607096927,"Yes",0.4761355214193855
"No","Yes","Fiber optic","One year",50.0,104.4,"No",0.8113435208421215,0.18865647915787856,"No",0.6226870416842429
"No","No","DSL","Two year",70.0,49.85,"No",0.9569083664521375,0.043091633547862586,"No",0.9138167329042749
"Yes","Yes","DSL","Two year",66.0,89.9,"No",0.9560273318655419,0.043972668134458104,"No",0.9120546637310838
"Yes","No","DSL","Two year",71.0,82.0,"No",0.957258028407372,0.04274197159262805,"No",0.9145160568147439
"No","No","DSL","Two year",72.0,79.35,"No",0.9548431421700178,0.045156857829982223,"No",0.9096862843400355
"Yes","No","DSL","Two year",71.0,64.05,"No",0.9581736892263635,0.04182631077363641,"No",0.9163473784527271
"No","No","DSL","One year",33.0,39.1,"No",0.9515739445577122,0.04842605544228793,"No",0.9031478891154242
"Yes","No","DSL","Two year",23.0,34.6,"No",0.9578920552434328,0.042107944756566984,"No",0.9157841104868658
"Yes","No","DSL","Two year",45.0,20.35,"No",0.9591375732894645,0.04086242671053566,"No",0.9182751465789288
"No","No","DSL","Month-to-month",54.0,69.9,"No",0.9026793106479182,0.0973206893520817,"No",0.8053586212958365
"Yes","Yes","DSL","Two year",23.0,59.7,"No",0.9563731250284921,0.04362687497150778,"No",0.9127462500569844
